Wall time,Step,Value
1710252947.1213527,0,1.0
1710252947.1353354,1,2.0
1710252947.1483371,2,3.0
1710252947.1633399,3,4.0
1710252947.1838675,4,5.0
1710252947.2008948,5,6.0
1710252947.2153993,6,7.0
1710252947.232397,7,8.0
1710252947.2463956,8,9.0
1710252947.2624302,9,10.0
1710252947.280398,10,11.0
1710252947.2953968,11,12.0
1710252947.31091,12,13.0
1710252947.3284357,13,14.0
1710252947.3444417,14,15.0
1710252947.361446,15,16.0
1710252947.3814478,16,17.0
1710252947.3994508,17,18.0
1710252947.4219792,18,19.0
1710252947.438496,19,20.0
1710252947.4550133,20,21.0
1710252947.4800174,21,22.0
1710252947.5435379,22,23.0
1710252947.5660667,23,24.0
1710252947.585086,24,25.0
1710252947.602076,25,26.0
1710252947.6206203,26,27.0
1710252947.6466186,27,28.0
1710252947.671618,28,29.0
1710252948.2738297,29,30.0
1710252948.5569594,30,31.0
1710252948.7090225,31,32.0
1710252949.004601,32,33.0
1710252949.0901186,33,34.0
1710252949.3066843,34,35.0
1710252949.6728487,35,35.0
1710252949.9209309,36,35.0
1710252950.0894518,37,35.0
1710252950.3520443,38,35.0
1710252950.534058,39,35.0
1710252950.7896342,40,35.0
1710252950.9351885,41,35.0
1710252951.1337507,42,35.0
1710252951.5814161,43,35.0
1710252952.0425541,44,35.0
1710252952.1517763,45,35.0
1710252952.879425,46,35.0
1710252953.8009517,47,35.0
1710252954.5438344,48,35.0
1710252956.1922328,49,35.0
1710252957.4186015,50,35.0
1710252958.703203,51,35.0
1710252959.9446998,52,35.0
1710252961.4764485,53,35.0
1710252962.147116,54,35.0
1710252963.3991024,55,35.0
1710252963.692211,56,35.0
1710252963.9405458,57,35.0
1710252965.274501,58,35.0
1710252966.8045921,59,35.0
1710252967.9540029,60,35.0
1710252969.2474108,61,35.0
1710252969.4649932,62,35.0
1710252970.017628,63,35.0
1710252971.3260562,64,35.0
1710252972.88256,65,35.0
1710252973.3442514,66,35.0
1710252974.6248043,67,35.0
1710252975.2385018,68,35.0
1710252976.6729228,69,35.0
1710252978.199413,70,35.0
1710252979.4763653,71,35.0
1710252980.7396147,72,35.0
1710252980.936172,73,35.0
1710252982.2257113,74,35.0
1710252983.7882738,75,35.0
1710252985.0504217,76,35.0
1710252986.2947998,77,35.0
1710252986.9648075,78,35.0
1710252988.2614186,79,35.0
1710252989.6259158,80,35.0
1710252989.820946,81,35.0
1710252990.8650067,82,35.0
1710252991.5020783,83,35.0
1710252992.7957683,84,35.0
1710252994.3175347,85,35.0
1710252994.927261,86,35.0
1710252995.1383414,87,35.0
1710252996.4270751,88,35.0
1710252997.6860075,89,35.0
1710252999.1564887,90,35.0
1710253000.5686724,91,35.0
1710253001.861412,92,35.0
1710253002.5971045,93,35.0
1710253003.224734,94,35.0
1710253004.8296282,95,35.0
1710253006.092021,96,35.0
1710253006.3052456,97,35.0
1710253007.5582676,98,35.0
1710253008.3274515,99,35.0
1710253009.918769,100,35.0
1710253010.623688,101,35.0
1710253011.9311094,102,35.0
1710253012.1976652,103,35.0
1710253013.4538927,104,35.0
1710253015.0857165,105,35.0
1710253015.923003,106,35.0
1710253016.3696053,107,35.0
1710253017.637032,108,35.0
1710253018.8835354,109,35.0
1710253020.269808,110,35.0
1710253021.7922723,111,35.0
1710253023.0607321,112,35.0
1710253023.8883002,113,35.0
1710253025.426559,114,35.0
1710253026.0618117,115,35.0
1710253027.321935,116,35.0
1710253028.0967143,117,35.0
1710253029.3746207,118,35.0
1710253031.09347,119,35.0
1710253031.1959243,120,35.0
1710253032.3638632,121,35.0
1710253032.9280798,122,35.0
1710253034.3159943,123,35.0
1710253035.5263665,124,35.0
1710253036.7811153,125,35.0
1710253037.2248476,126,35.0
1710253038.582945,127,35.0
1710253039.9824123,128,35.0
1710253041.5743887,129,35.0
1710253043.0361707,130,35.0
1710253044.7907963,131,35.0
1710253046.5422037,132,35.0
1710253047.8513303,133,35.0
1710253049.1291177,134,35.0
1710253050.6144588,135,35.0
1710253051.185267,136,35.0
1710253052.8513324,137,35.0
1710253053.4677887,138,35.0
1710253054.2423997,139,35.0
1710253054.3895178,140,35.0
1710253054.9808016,141,35.0
1710253057.4359775,142,35.0
1710253057.950704,143,35.0
1710253059.3094916,144,35.0
1710253060.6606255,145,35.0
1710253062.13452,146,35.0
1710253063.541445,147,35.0
1710253064.8669477,148,35.0
1710253066.101771,149,35.0
1710253067.749887,150,35.0
1710253069.0483031,151,35.0
1710253070.0089023,152,35.0
1710253071.3167648,153,35.0
1710253072.28812,154,35.0
1710253073.7819805,155,35.0
1710253075.057397,156,35.0
1710253076.450432,157,35.0
1710253078.3102462,158,35.0
1710253079.5840406,159,35.0
1710253080.8622684,160,35.0
1710253081.7850409,161,35.0
1710253083.2094853,162,35.0
1710253084.6671817,163,35.0
1710253085.956522,164,35.0
1710253087.2051408,165,35.0
1710253089.0468924,166,35.0
1710253089.215954,167,35.0
1710253089.6725693,168,35.0
1710253090.9436886,169,35.0
1710253092.1910863,170,35.0
1710253092.9221113,171,35.0
1710253094.4626405,172,35.0
1710253094.6732686,173,35.0
1710253095.9575498,174,35.0
1710253097.2156253,175,35.0
1710253098.521589,176,35.0
1710253100.2635207,177,35.0
1710253101.5476632,178,35.0
1710253102.8212385,179,35.0
1710253104.274856,180,35.0
1710253105.675794,181,35.0
1710253105.9258668,182,35.0
1710253106.4677522,183,35.0
1710253107.4621723,184,35.0
1710253108.7203844,185,35.0
1710253110.5892208,186,35.0
1710253111.8517404,187,35.0
1710253113.0921957,188,35.0
1710253114.4112287,189,35.0
1710253115.4153674,190,35.0
1710253115.9765656,191,35.0
1710253118.0780096,192,35.0
1710253119.8527498,193,35.0
1710253123.996902,194,35.0
1710253125.6912725,195,35.0
1710253126.13567,196,35.0
1710253127.1336029,197,35.0
1710253128.7312334,198,35.0
1710253130.30422,199,35.0
1710253130.7880132,200,35.0
1710253132.6885183,201,35.0
1710253133.2919633,202,35.0
1710253134.6798139,203,35.0
1710253135.520189,204,35.0
1710253136.3118243,205,35.0
1710253137.4986017,206,35.0
1710253138.9083664,207,35.0
1710253140.5041897,208,35.0
1710253142.11373,209,35.0
1710253143.0416288,210,35.0
1710253144.7590547,211,35.0
1710253146.7440557,212,35.0
1710253148.8691442,213,35.0
1710253150.849204,214,35.0
1710253152.547603,215,35.0
1710253153.9031703,216,35.0
1710253155.207549,217,35.0
1710253156.5691776,218,35.0
1710253157.8965678,219,35.0
1710253159.1203182,220,35.0
1710253160.8986895,221,35.0
1710253162.3760035,222,35.0
1710253163.7147903,223,35.0
1710253165.04239,224,35.0
1710253166.3724737,225,35.0
1710253167.6472535,226,35.0
1710253168.6227021,227,35.0
1710253168.945051,228,35.0
1710253170.3753054,229,35.0
1710253172.3864539,230,35.0
1710253173.8841643,231,35.0
1710253175.1780133,232,35.0
1710253175.8940501,233,35.0
1710253176.3727655,234,35.0
1710253177.8992074,235,35.0
1710253180.0651042,236,35.0
1710253180.4430897,237,35.0
1710253184.0108557,238,35.0
1710253185.467149,239,35.0
1710253186.8147223,240,35.0
1710253188.1586878,241,35.0
1710253189.4677796,242,35.0
1710253190.821125,243,35.0
1710253192.158595,244,35.0
1710253193.7307396,245,35.0
1710253194.5854957,246,35.0
1710253196.434002,247,35.0
1710253197.6046011,248,35.0
1710253200.307823,249,35.0
1710253201.9702253,250,35.0
1710253203.6373594,251,35.0
1710253204.5488997,252,35.0
1710253205.1301298,253,35.0
1710253206.8105135,254,35.0
1710253208.3743546,255,35.0
1710253209.7434533,256,35.0
1710253211.042624,257,35.0
1710253211.7225978,258,35.0
1710253213.0145147,259,35.0
