Wall time,Step,Value
1710268781.8882864,0,1.0
1710268781.9262881,1,2.0
1710268781.9563644,2,3.0
1710268782.0153465,3,4.0
1710268782.049348,4,5.0
1710268782.9878917,5,6.0
1710268783.4955354,6,7.0
1710268783.9562857,7,8.0
1710268784.3098655,8,9.0
1710268784.6532888,9,10.0
1710268785.0614824,10,11.0
1710268785.5122664,11,12.0
1710268786.2354753,12,13.0
1710268786.8058414,13,14.0
1710268786.9965003,14,15.0
1710268787.259616,15,16.0
1710268787.5317001,16,17.0
1710268787.8288574,17,18.0
1710268788.3637736,18,19.0
1710268788.478833,19,20.0
1710268788.6999228,20,21.0
1710268788.7764456,21,22.0
1710268788.9155316,22,23.0
1710268789.1496494,23,24.0
1710268789.3957562,24,25.0
1710268789.8844981,25,26.0
1710268790.1781752,26,27.0
1710268790.7684884,27,28.0
1710268790.9040546,28,29.0
1710268791.2937167,29,30.0
1710268791.43876,30,31.0
1710268792.099018,31,32.0
1710268792.5849981,32,33.0
1710268792.756075,33,34.0
1710268793.2462478,34,35.0
1710268793.4568863,35,36.0
1710268793.6904566,36,37.0
1710268794.246685,37,38.0
1710268794.5967176,38,39.0
1710268795.346472,39,40.0
1710268795.719607,40,41.0
1710268795.8801472,41,42.0
1710268797.1109972,42,43.0
1710268797.7628949,43,44.0
1710268798.4376462,44,45.0
1710268799.3064284,45,46.0
1710268800.0039222,46,47.0
1710268800.3411915,47,48.0
1710268800.807872,48,49.0
1710268800.9989862,49,50.0
1710268802.371943,50,51.0
1710268802.7895827,51,52.0
1710268803.0720687,52,53.0
1710268803.7969723,53,54.0
1710268803.9883606,54,55.0
1710268804.475986,55,56.0
1710268804.790785,56,57.0
1710268805.1651354,57,58.0
1710268805.5169215,58,59.0
1710268805.9498224,59,60.0
1710268806.1187596,60,61.0
1710268806.5262475,61,62.0
1710268807.0223668,62,63.0
1710268807.9811242,63,64.0
1710268808.1562905,64,65.0
1710268808.5139487,65,66.0
1710268809.4398222,66,67.0
1710268810.2841084,67,67.0
1710268811.1464589,68,68.0
1710268811.4096065,69,68.0
1710268811.8612072,70,69.0
1710268812.3279674,71,70.0
1710268813.1897628,72,71.0
1710268813.6325943,73,72.0
1710268813.99853,74,73.0
1710268814.6937866,75,74.0
1710268815.9686131,76,75.0
1710268816.3948781,77,76.0
1710268817.0485654,78,77.0
1710268817.5102623,79,78.0
1710268818.2149582,80,79.0
1710268818.8490632,81,80.0
1710268819.301937,82,81.0
1710268820.1095152,83,82.0
1710268820.6098638,84,83.0
1710268820.992725,85,84.0
1710268821.7177582,86,85.0
1710268822.6780117,87,86.0
1710268823.2855096,88,87.0
1710268823.622688,89,88.0
1710268824.6047716,90,89.0
1710268825.257596,91,90.0
1710268826.329361,92,91.0
1710268826.7376068,93,92.0
1710268827.214078,94,93.0
1710268827.5637028,95,94.0
1710268828.2400408,96,95.0
1710268828.681671,97,96.0
1710268829.225073,98,97.0
1710268829.7700064,99,98.0
1710268830.5798829,100,99.0
1710268831.54094,101,100.0
1710268833.3072634,102,101.0
1710268834.8668685,103,102.0
1710268835.9066916,104,103.0
1710268837.4974253,105,104.0
1710268838.7398226,106,105.0
1710268839.5415907,107,106.0
1710268840.2775512,108,107.0
1710268841.3790195,109,108.0
1710268842.67332,110,109.0
1710268843.1509123,111,110.0
1710268844.0550404,112,111.0
1710268845.2760675,113,112.0
1710268846.425657,114,113.0
1710268847.4129157,115,114.0
1710268848.3641815,116,115.0
1710268849.1630828,117,116.0
1710268850.0069208,118,117.0
1710268852.7140532,119,118.0
1710268854.5485284,120,119.0
1710268856.6911035,121,120.0
1710268859.420974,122,121.0
1710268861.365261,123,121.0
1710268863.011256,124,121.0
1710268865.9589736,125,121.0
1710268868.9690378,126,121.0
1710268871.7294266,127,121.0
1710268874.6221683,128,121.0
1710268875.4913647,129,121.0
1710268878.5340457,130,121.0
1710268881.2270966,131,121.0
1710268884.093941,132,121.0
1710268886.945107,133,121.0
1710268889.882346,134,121.0
1710268892.5676975,135,121.0
1710268895.3662639,136,121.0
1710268898.0442626,137,121.0
1710268898.7900753,138,121.0
1710268901.8225298,139,121.0
1710268902.2712517,140,121.0
