Wall time,Step,Value
1710268781.8882864,0,-15000.0
1710268781.9262881,1,-10000.0
1710268781.9563644,2,-10000.0
1710268782.0153465,3,-17000.0
1710268782.049348,4,-10000.0
1710268782.9878917,5,-6000.0
1710268783.4955354,6,-10000.0
1710268783.9562857,7,-4000.0
1710268784.3098655,8,-4000.0
1710268784.6522887,9,-6000.0
1710268785.0614824,10,-4000.0
1710268785.5122664,11,-4000.0
1710268786.2354753,12,-3000.0
1710268786.8048413,13,-5000.0
1710268786.9965003,14,-3000.0
1710268787.259616,15,-3000.0
1710268787.5317001,16,-5000.0
1710268787.8288574,17,-4000.0
1710268788.3637736,18,-3000.0
1710268788.478833,19,-3000.0
1710268788.6999228,20,-5000.0
1710268788.7764456,21,-4000.0
1710268788.9155316,22,-7000.0
1710268789.1496494,23,-3000.0
1710268789.3957562,24,-4000.0
1710268789.8844981,25,-3000.0
1710268790.1781752,26,-7000.0
1710268790.7684884,27,-4000.0
1710268790.9040546,28,-3000.0
1710268791.2937167,29,-7000.0
1710268791.43876,30,-8000.0
1710268792.099018,31,-7000.0
1710268792.5849981,32,-6000.0
1710268792.756075,33,-11000.0
1710268793.2462478,34,-6000.0
1710268793.4568863,35,-10000.0
1710268793.6904566,36,-7000.0
1710268794.246685,37,-11000.0
1710268794.5967176,38,-8000.0
1710268795.346472,39,-10000.0
1710268795.719607,40,-9000.0
1710268795.8801472,41,-6000.0
1710268797.1109972,42,-14000.0
1710268797.7628949,43,-8000.0
1710268798.4376462,44,-6000.0
1710268799.3064284,45,-13000.0
1710268800.0039222,46,-13000.0
1710268800.3411915,47,-23000.0
1710268800.807872,48,-6000.0
1710268800.9989862,49,-13000.0
1710268802.371943,50,-6000.0
1710268802.788582,51,-39000.0
1710268803.0720687,52,-11000.0
1710268803.7969723,53,-14000.0
1710268803.9883606,54,-5000.0
1710268804.475986,55,-16000.0
1710268804.790785,56,-7000.0
1710268805.1651354,57,-8000.0
1710268805.5169215,58,-5000.0
1710268805.9498224,59,-18000.0
