Wall time,Step,Value
1710267536.8249145,0,-125000.0
1710267537.0621424,1,-122000.0
1710267537.8776884,2,-127000.0
1710267540.6530175,3,-146000.0
1710267541.7586834,4,-9000.0
1710267542.0868,5,-4000.0
1710267542.8778152,6,-4000.0
1710267543.1389518,7,-5000.0
1710267546.8173597,8,-19000.0
1710267548.3683026,9,-139000.0
1710267550.1869802,10,-118000.0
1710267552.0704033,11,1000.0
1710267552.8155491,12,-144000.0
1710267553.4927993,13,-6000.0
1710267555.7961662,14,-5000.0
1710267557.1504614,15,-4000.0
1710267558.6878061,16,-96000.0
1710267559.5337744,17,-5000.0
1710267559.8854022,18,-7000.0
1710267560.48777,19,-144000.0
1710267561.2431226,20,-8000.0
1710267562.051341,21,-54000.0
1710267564.0672994,22,-122000.0
1710267564.7512138,23,-19000.0
1710267565.1389172,24,-21000.0
1710267566.656704,25,-3000.0
1710267566.983653,26,-25000.0
1710267567.4400625,27,-18000.0
1710267568.0124285,28,-44000.0
1710267568.4087913,29,-63000.0
1710267568.9410229,30,-4000.0
1710267569.4738135,31,-5000.0
1710267569.963029,32,-8000.0
1710267570.5773423,33,-6000.0
1710267571.2552416,34,-5000.0
1710267571.815999,35,-3000.0
1710267572.3421884,36,-5000.0
1710267572.9259264,37,-79000.0
1710267573.3796155,38,-9000.0
1710267573.879337,39,-3000.0
1710267574.6208243,40,-3000.0
1710267575.6900778,41,-6000.0
1710267576.0422459,42,-4000.0
1710267576.3578882,43,-21000.0
1710267576.8815022,44,-5000.0
1710267577.4195218,45,-5000.0
1710267577.7881958,46,-7000.0
1710267578.6395204,47,-4000.0
1710267579.0251904,48,-4000.0
1710267579.9635637,49,-7000.0
1710267580.7733574,50,-27000.0
1710267581.1175325,51,-4000.0
1710267582.1262295,52,-16000.0
1710267582.5984516,53,-29000.0
1710267583.7839751,54,-22000.0
1710267584.4028656,55,-29000.0
1710267585.9744918,56,-14000.0
1710267588.119491,57,-9000.0
1710267591.6638792,58,0.0
1710267595.1089942,59,0.0
1710267600.2464933,60,1000.0
1710267601.0910935,61,0.0
1710267602.2913795,62,1000.0
1710267602.8280602,63,0.0
1710267606.4006429,64,1000.0
1710267608.2261739,65,-1000.0
1710267612.7219136,66,1000.0
1710267616.2807906,67,0.0
1710267619.6085305,68,1000.0
1710267623.3209925,69,1000.0
1710267624.221729,70,1000.0
1710267628.2187598,71,1000.0
1710267631.6543143,72,1000.0
1710267633.769384,73,1000.0
1710267637.6274617,74,0.0
1710267640.9120638,75,0.0
1710267644.8619413,76,-2000.0
1710267648.9493818,77,0.0
1710267652.7094774,78,0.0
1710267656.6135476,79,0.0
1710267660.4818602,80,0.0
1710267664.1611066,81,0.0
1710267668.3098948,82,0.0
1710267672.455186,83,-2000.0
1710267676.3437374,84,0.0
1710267680.4277575,85,0.0
1710267684.410804,86,0.0
1710267688.2509363,87,0.0
1710267692.339523,88,0.0
1710267696.2765012,89,-2000.0
1710267700.3964546,90,0.0
1710267704.4150221,91,0.0
1710267708.718305,92,-4000.0
1710267712.6058543,93,0.0
1710267716.2035835,94,0.0
1710267720.2421312,95,-2000.0
1710267724.3056936,96,0.0
1710267727.7687547,97,0.0
1710267731.4430072,98,0.0
1710267735.8601122,99,0.0
1710267739.3940744,100,-4000.0
1710267742.70746,101,-2000.0
1710267746.8116894,102,0.0
1710267751.2467253,103,0.0
1710267755.255611,104,0.0
1710267761.0040586,105,0.0
1710267764.8439846,106,0.0
1710267766.9008775,107,0.0
1710267771.421977,108,0.0
1710267774.9816453,109,0.0
1710267778.2071893,110,0.0
1710267781.6635494,111,0.0
1710267784.7338908,112,0.0
1710267787.5411646,113,-2000.0
1710267790.4416757,114,0.0
1710267793.4307373,115,-3000.0
1710267796.2511494,116,0.0
1710267799.2893312,117,-2000.0
1710267802.1771572,118,0.0
1710267805.2526062,119,0.0
1710267807.3563478,120,-1000.0
